-108.339134852 -54.185912323  -0.03588165888283042 -0.20130713715228898 -0.1761859488127249
-106.439281852 -52.622857323  -0.0067096998647193 -0.2012850244768186 -0.17141102957909776
-104.53942785200002 -51.05980232299999  0.026205530422632385 -0.20030136815725263 -0.16559125124808097
-102.63957485200001 -49.496747322999994  0.06320505623948817 -0.19808559656330868 -0.15855193085240876
-100.739721852 -47.933691323  0.10468612552511931 -0.19418705216626392 -0.15035117382215157
-98.839867852 -46.37063632299999  0.1510486457191746 -0.1882917271077243 -0.14087964311049953
-96.94001485199999 -44.807581322999994  0.20219341021684267 -0.17978747795467623 -0.13013613554871492
-95.04016185200001 -43.24452632299999  0.2575958285246644 -0.167983784914273 -0.11828609260384407
-93.140308852 -41.681471323  0.315864536061517 -0.15198014894222084 -0.10553416935125841
-91.240454852 -40.11841632299999  0.3740852527608134 -0.13082322194701793 -0.09236350420702015
-89.34060185199999 -38.55536032299999  0.42737106848144296 -0.10368745974618936 -0.07943292917790339
-87.44074885200001 -36.992305323  0.469381643559165 -0.07116310944401008 -0.06769179232671994
-85.54089485200001 -35.42925032299999  0.49346572564289154 -0.03606642232023772 -0.058032015379821195
-83.641041852 -33.866195323  0.4956927351822625 -0.004152901492745324 -0.050415814430552514
-81.741188852 -32.303140322999994  0.47799409211304744 0.016977154027876657 -0.0435013791504336
-79.84133485200002 -30.740085322999988  0.44803331194291646 0.02031576927475952 -0.03370291612960798
-77.94148185200001 -29.177029323  0.41420539118916966 0.0024225796749123593 -0.01588941776842184
-76.041628852 -27.613974322999994  0.38090697590522565 -0.03477782581601107 0.013939247659120987
-74.141774852 -26.050919322999988  0.34755882904920476 -0.08363852936946929 0.05652000324000926
-72.24192185199999 -24.487864322999997  0.31102924424591133 -0.13288844765483837 0.10867361983930307
-70.34206885200001 -22.92480932299999  0.269558260483431 -0.1718486960743959 0.16387037578131794
-68.442215852 -21.361754323  0.22324108144387086 -0.1948705832840196 0.2153332843021875
-66.542361852 -19.798698322999996  0.17337296455537973 -0.20198585679047906 0.2583732189144664
-64.64250885199999 -18.23564332299999  0.12167647458535773 -0.19701885664288368 0.2911995508483327
-62.74265585199999 -16.672588323  0.07000004230267046 -0.18448950146731866 0.3139077893426316
-60.842801852000015 -15.109533322999994  0.019717392109014367 -0.1683111534155038 0.3275824872710591
-58.94294885200001 -13.546478322999988  -0.028152123413358855 -0.15116072652668444 0.3334452956140404
-57.043095852 -11.983423322999997  -0.0729200028775032 -0.1346009322993112 0.33267268252947174
-55.143241851999996 -10.420367322999994  -0.11424529963107673 -0.11927270913090356 0.32642718813057464
-53.24338885200002 -8.857312322999988  -0.151969507874117 -0.10554078137421102 0.31589743875826565
-51.34353585200001 -7.2942573229999965  -0.1859069750018264 -0.09336137286062085 0.30178031229288893
-49.443682852 -5.731202322999991  -0.21581931814068941 -0.08254070040141097 0.2848694678327197
-47.543828852 -4.1681473229999995  -0.24155382639199804 -0.07279700090577622 0.26578729001888246
