-86.56206585200002 -94.20835132299999  -0.09311886498917811 0.21935612508017796 -0.0100879922654672
-84.66221285200001 -92.645296323  -0.07173545886747569 0.24137354667313066 -0.03418147548160645
-82.762359852 -91.08224132299999  -0.04973797690953335 0.26161122065561176 -0.05714609383184863
-80.862505852 -89.51918532299999  -0.028040594010578516 0.27995587262648985 -0.07863320343899574
-78.96265285199999 -87.956130323  -0.007878637461868792 0.2961794973795337 -0.09820360711448647
-77.06279985200001 -86.39307532299999  0.010120782192699143 0.31025359712055783 -0.11585297015630885
-75.162946852 -84.830020323  0.025561473634782145 0.32217194680786815 -0.1313898860656016
-73.263092852 -83.266965323  0.03807493811906803 0.33196046663208906 -0.14475583148995105
-71.36323985199999 -81.703910323  0.047276848558195084 0.3396472966937379 -0.15580934591454218
-69.46338685200001 -80.140854323  0.053101867317399 0.3454438516811783 -0.16465253540605845
-67.56353285200001 -78.577799323  0.0554606814628131 0.3493270347884819 -0.17121273511012622
-65.663679852 -77.014744323  0.054228220190884226 0.351423782433829 -0.17549149702046027
-63.763826852 -75.451689323  0.04957327010215798 0.35180326986692906 -0.1775810759515072
-61.863972851999996 -73.88863432299999  0.04160511627454796 0.3505033818756284 -0.1775063869841269
-59.96411985200002 -72.325579323  0.03040394092455218 0.34752535790045397 -0.1752273835629141
-58.06426685200001 -70.762523323  0.016163859954524497 0.34297109280237487 -0.17078619508120144
-56.164413852 -69.19946832299999  -0.0008052371021647437 0.3367153512837934 -0.16418484173284784
-54.264559852 -67.636413323  -0.020231669231649874 0.32878433228548126 -0.15552037758876014
-52.36470685199999 -66.073358323  -0.041916655270900445 0.3191751046282639 -0.14470607385647227
-50.46485385200001 -64.51030332299999  -0.06540334735255195 0.3079143257431749 -0.13188971955820056
-48.56499985200001 -62.947248323  -0.09033713868075396 0.2950309494901618 -0.11715177486143105
-46.665146852 -61.38419232299999  -0.11646559237354794 0.2807865353964632 -0.100551508718765
-44.76529385199999 -59.821137322999995  -0.14285816254796688 0.26533924257815106 -0.08245291460817311
-42.865439852000016 -58.258082323  -0.16865896049197904 0.2488872656262892 -0.0630779908661663
-40.96558685200001 -56.695027323  -0.19326401656219072 0.23159309187463575 -0.04258416952101163
-39.065733852 -55.13197232299999  -0.21600004183673918 0.21357633344016552 -0.021244122718563598
-37.165879851999996 -53.568917322999994  -0.23612515579894391 0.19493694530446018 0.000733743323958624
-35.26602685200002 -52.005861323  -0.2532029126626784 0.17595340718492858 0.02320424785377461
-33.36617385200001 -50.44280632299999  -0.26678631152871557 0.1566251562638422 0.045932125094273656
-31.466319852000005 -48.879751322999994  -0.2764376519393387 0.13712929474609342 0.06861310725640354
-29.566466851999998 -47.316696322999995  -0.28207333749234176 0.11762358429886849 0.09109721569539057
-27.66661385199999 -45.753641323  -0.2836203615502187 0.11312959879276298 0.0982339546783335
-25.76676085200001 -44.19058632299999  0.13426337816804373 -0.28100975610450823 0.0792242971937547
-151.299567852 -42.627531323  -0.2744233244187165 0.06086009779890394
-149.39971485200002 -41.064475322999996  -0.2640655829867131 0.04325594124810958 0.17263047573682394
-147.499860852 -39.50142032299999  -0.2500926350170675 0.026399149856274468 0.1894060086605059
-145.600007852 -37.938365323  -0.23281626457839322 0.010379087345065154 0.204332392894054
-143.700154852 -36.375310322999994  -0.21225766382285152 -0.004742972419930226 0.21714637298539038
-141.80030085200002 -34.81225532299999  -0.18859394049290032 -0.018896629616471466 0.22765335012093776
-139.900447852 -33.249199323  -0.16215137790348594 -0.031979175644274195 0.2357441889671446
-138.000594852 -31.686144322999994  -0.13317010897114848 -0.04393047433166335 0.2412572343356616
-136.100740852 -30.123089322999988  -0.10189365688504591 -0.05468769604103928 0.2440123027187113
-134.200887852 -28.560034322999996  -0.06876699034870704 -0.06410257643160647 0.24407438564716963
-132.30103485200002 -26.99697932299999  -0.03421473216480863 -0.07174649229275863 0.24138020331836663
-130.401180852 -25.433924323  0.0013601777154099988 -0.07743399115965915 0.23607186437656352
