-129.230596806 -35.318295627  0.07269518141928358 -0.0095454660848946 0.247288935452671
-127.927472806 -33.231563627  0.026925595401220224 0.062055237971123195 0.227482158753901
-126.624347806 -31.144831627000002  -0.022517500746150297 0.13214280754147067 0.20675423058101638
-125.321223806 -29.058099627000004  -0.07149271475513293 0.19496372322207972 0.18694436678858237
-124.018099806 -26.971367627000006  -0.1171262646355773 0.24607111248723998 0.16975876085350142
-122.71497480599999 -24.88463562700001  -0.15671843486481368 0.2842833546459945 0.15652767219721245
-121.41185080599999 -22.79790362700001  -0.18835279298402918 0.30854329443708944 0.14809413523585163
-120.10872680599999 -20.711171627  -0.21058736244805382 0.3175217273887354 0.14477625293983787
-118.805601806 -18.624438627000004  -0.22259873714030803 0.3098782267048088 0.14673693142446811
-117.502477806 -16.537706627000006  -0.22394242057044117 0.28455026518025206 0.1539865497665275
-116.19935280600001 -14.450974627000008  -0.2141218475139699 0.2415024433298226 0.16600786149487992
-114.89622880600001 -12.36424262700001  -0.19332541967499312 0.18219586049885422 0.1821998797283138
-113.59310480599999 -10.277510626999998  -0.16216763050093588 0.11059890575149266 0.20133403053086657
-112.28997980599999 -8.190778627  -0.1209662004221975 0.03341361645179102 0.221040224160664
-110.986855806 -6.1040466270000024  -0.07101683152541417 -0.04259598123025662 0.23934024334817425
-109.683731806 -4.017314627000005  -0.015360724877276834 -0.11035325380761794 0.2545612493765405
-108.380606806 -1.9305816270000093  0.04097286355681737 -0.16452602298618935 0.2656391105712011
-168.619374806 -106.43753362700001  -0.20303425459239088 0.2725768972292474
-167.316250806 -104.35080162700001  0.13705641549323636 -0.2254363641086003 0.2755834200198267
-166.013125806 -102.264069627  0.16953843131012983 -0.23222388601756563 0.2752107728980114
-164.710001806 -100.177337627  0.18850610726496653 -0.22424363299442943 0.2720134313829576
-163.40687680599999 -98.090604627  0.19392953563032153 -0.20204250536663257 0.266121610649855
-162.103752806 -96.003872627  0.1869988072007287 -0.1660367701039534 0.2576079427860506
-160.800628806 -93.91714062700001  0.16973736102798145 -0.11708637290659318 0.2460882619464591
-159.497503806 -91.830408627  0.14402542227220017 -0.057107824262455434 0.23137955295324952
-158.194379806 -89.743676627  0.1103681449860331 0.010526112420958314 0.2137362048654286
-156.891255806 -87.656944627  0.06838322429390138 0.08098447954940369 0.19384323139416934
-155.58813080599998 -85.570212627  0.019694396158817594 0.14819369012055758 0.17305079936233453
-154.28500680599998 -83.483480627  -0.03160199024161332 0.20649783705513278 0.1531413682349961
-152.981882806 -81.39674862700001  -0.08209493173277882 0.2532851561309947 0.1357654732260554
-151.678757806 -79.31001562700001  -0.12864053858911492 0.28759220795377266 0.12213246564180279
-150.375633806 -77.223283627  -0.16874129168637367 0.3078921733010454 0.1131942342021622
-149.072508806 -75.136551627  -0.20032322821953036 0.31246379129479407 0.1093486248063586
