-82.51581042200002 -32.95038796  0.5308282454045341 -0.08527071755623099 -0.03602010819484187
-80.43771042200001 -31.63354296  0.5495224973393467 -0.051038790306994694 -0.029580506352106517
-78.359609422 -30.31669796  0.546853044719485 -0.025596243810665973 -0.022504292105391104
-76.28150842200002 -28.99985296  0.526781865598918 -0.014731558617381593 -0.010729733967679636
-74.20340742200001 -27.683007959999998  0.4954794532237995 -0.0216885449554544 0.010300343668132156
-72.12530642200001 -26.366162959999997  0.45775851736598494 -0.045459352619688816 0.043527226133624426
-70.047205422 -25.049317959999996  0.4153334144567227 -0.0809366287810884 0.0893149334984492
-67.96910442200002 -23.73247296000001  0.36760221958914885 -0.1197538844985418 0.14477271980972733
-65.89100342200001 -22.41562796000001  0.3142265153710893 -0.1526346958419883 0.204492296319633
-63.81290242200001 -21.09878296000001  0.25652614118316336 -0.17292791755727008 0.26244651933811447
-61.734802422000016 -19.781937960000008  0.1966208743434479 -0.1786738217406628 0.3140444817007241
-59.65670142200001 -18.465092960000007  0.1366837006640282 -0.1718433916878963 0.3568471217163331
-57.57860042200001 -17.148247960000006  0.07881078052367327 -0.15638161785770677 0.38995112544406924
-55.500499422000004 -15.831402960000005  0.024220299559348263 -0.13628544117158656 0.4137501164256796
-53.422398422000015 -14.514557960000005  -0.026702081032872253 -0.11462392867190282 0.42922595126980756
-51.34429742200001 -13.197712960000004  -0.07387453101941843 -0.09333708313885725 0.4374246443673561
-49.26619642200001 -11.880867960000003  -0.11733005159555285 -0.07342522028247016 0.4392899543816086
-47.188095422 -10.564022960000003  -0.15709970855105082 -0.05522863186914589 0.4356490823362175
-45.109994422 -9.247177960000002  -0.19313286402718643 -0.038663251076727634 0.4272358619869294
-43.03189442200002 -7.930332960000001  -0.22545784353974246 -0.023401025543269734 0.41475206088618477
-40.95379342200002 -6.6134879600000005  -0.2538295441606605 -0.008990265368727842 0.3987467295214795
-38.875692422000014 -5.29664296  -0.278088928670515 0.005074640377069547 0.3798010974331383
-36.79759142200001 -3.979797959999999  -0.2979474932088886 0.019365317010386882 0.3585125364066946
-34.71949042200001 -2.6629529599999984  -0.31299001606043575 0.03448824707066665 0.3353298207147012
-32.641389422 -1.3461079599999977  -0.3228136712498542 0.05111357451965812 0.3106885783068246
