-138.647514806 -58.442694627  -0.05640871646488601 -0.14417033720677808 0.21393825977949435
-137.34438980599998 -56.355962627000004  0.0046886191490036295 -0.19398762478873788 0.22565473938550668
-136.04126580599998 -54.269230627000006  0.06471472676025901 -0.22669534627864438 0.23316873368779642
-134.738141806 -52.182498627  0.11886344709572196 -0.24236118026457232 0.2364391360792628
-133.435016806 -50.095766627  0.16270275749224375 -0.24192321985193974 0.2359142982839252
-132.131892806 -48.009034627000005  0.1929627965428212 -0.22668033776134022 0.232139690919353
-130.828768806 -45.92230262700001  0.20848908113451378 -0.19767501482731495 0.22549976541918829
-129.525643806 -43.835569627000005  0.21005553764115953 -0.15580268110040033 0.21613065288898914
-128.22251980599998 -41.748837627  0.19956094125646928 -0.1024390150820311 0.20404424437190727
-126.91939480599999 -39.662105627  0.17923123160343843 -0.03979800967573444 0.18913846596402548
-125.61627080599999 -37.575373627000005  0.14993745098736813 0.02858519118206617 0.17168373593232078
-124.31314680599999 -35.48864162700001  0.11129980746483309 0.09792352803755189 0.15221234788366456
-123.010021806 -33.40190962700001  0.06350200245153921 0.16212774401745741 0.1318786704035492
-121.706897806 -31.31517762700001  0.010302596375531867 0.21658889158429454 0.11236236185211611
-120.403773806 -29.228444627000002  -0.0443530348331569 0.2600179729388978 0.09499819222109279
-119.10064880600001 -27.141712627000004  -0.09701229499048959 0.2907929846023009 0.08096279120112919
-117.79752480599998 -25.054980627000006  -0.14486343868097243 0.30679006390999697 0.0711185757423744
-116.49440080599999 -22.96824862700001  -0.18540568471069893 0.3057270509382598 0.06591761281062018
-115.191275806 -20.88151662700001  -0.21675205636173056 0.2859153596220867 0.06558816080283977
-113.888151806 -18.794784627  -0.23750546346258308 0.24701334737948075 0.07008182539846733
-112.585026806 -16.708052627  -0.24627525679913206 0.19043865359054776 0.0791284907490826
-111.281902806 -14.621320627000003  -0.24227891082234776 0.11970450508170993 0.09239913539879502
-109.97877880600001 -12.534588627000005  -0.22503097747989015 0.040231264225481116 0.10893488455689594
-108.67565380599999 -10.44785562700001  -0.19391487810587793 -0.04023421244769066 0.1267796541018242
-107.37252980599999 -8.361123626999998  -0.14910448246044763 -0.11459841262315477 0.14409048798624588
-106.06940580599999 -6.274391627  -0.09249382776622489 -0.17619426151042566 0.1591384743033034
-104.766280806 -4.187659627000002  -0.028791301739875732 -0.22080513767259569 0.1706831717247999
-103.463156806 -2.1009276270000043  0.03664804876719082 -0.24739256764740902 0.17812951106599947
-102.160032806 -0.014195627000006539  0.09858527244004844 -0.2563503325659987 0.18128030297690836
-162.398799806 -104.52114662700001  0.15185538144599248 -0.24902128036191606 0.1803673611805818
-161.095675806 -102.43441462700001  0.19214499835082327 -0.2269557600767982 0.1761512847754658
-159.792550806 -100.34768262700001  0.21739268071654297 -0.19160759441184724 0.16913905304758436
-158.48942680599998 -98.260950627  0.2276006481822382 -0.1443883276944478 0.15965781792738185
-157.186302806 -96.174218627  0.22450384417569177 -0.08723491458383079 0.14764454358499288
-155.883177806 -94.087486627  0.21034406989134746 -0.02279206894402148 0.13311662444553213
-154.580053806 -92.000754627  0.18628509941989904 0.04510935963375096 0.1164247376125001
-153.276929806 -89.91402162700001  0.1521910567694771 0.1113395066108358 0.09794086575325775
-151.973804806 -87.827289627  0.10735786108092128 0.1705718758082094 0.07876070373993833
-150.670680806 -85.740557627  0.05419694057116771 0.22027302162830634 0.0602510429536811
-149.36755680599998 -83.653825627  -0.003137418697857022 0.2592117217049724 0.04338759375468506
-148.064431806 -81.567093627  -0.06099738201009198 0.2853599250317533 0.029223130306485788
-146.761307806 -79.48036162700001  -0.11604924311365868 0.296088522549679 0.018665386384368474
-145.458182806 -77.393629627  -0.16509459090027098 0.2889479015566133 0.012314759268525014
-144.155058806 -75.30689762700001  -0.20570192680551566 0.2624851019363927 0.010537398527578531
-142.851934806 -73.220164627  -0.23579720609851545 0.21701803517652277 0.013167925681190419
-141.54880980599998 -71.133432627  -0.253623426855445 0.1548918559091731 0.02016094353858142
-140.24568580599998 -69.046700627  -0.25804961545984484 0.08048615812450138 0.03126090688075209
-138.942561806 -66.959968627  -0.2481675254447601 -0.0002934672268278434 0.04579214130391365
-137.639436806 -64.87323662700001  -0.22299671823891262 -0.07980980548026634 0.062091005810680326
-136.336312806 -62.78650462700001  -0.1822302579619212 -0.1509328046716398 0.07821947941969826
-135.033188806 -60.699772627  -0.12723294627667736 -0.20746617651218438 0.0925354464738705
-133.730063806 -58.613040627000004  -0.06229257626294109 -0.24596777939659695 0.10384626755878218
-132.426939806 -56.526308627000006  0.0073178808463506455 -0.2659213304044641 0.1112832574274992
-131.12381580599998 -54.439575627  0.07610889833394864 -0.26807171367823185 0.11449846684942111
-129.820690806 -52.352843627000006  0.13817283326773475 -0.2539157046252544 0.11384641068112614
-128.517566806 -50.266111627  0.18824257989782983 -0.22515622509891273 0.10996215145454237
-127.214441806 -48.179379627  0.22333800781459523 -0.18372117200932006 0.10336373527036613
-125.911317806 -46.092647627000005  0.24254319545135586 -0.13162062568245367 0.0944216163709258
-124.608193806 -44.00591562700001  0.24708908848716507 -0.07126158576213815 0.08317833586443052
-123.305068806 -41.91918362700001  0.23917559002194136 -0.005838809596252238 0.06968280456524745
-122.001944806 -39.832451627  0.22023439724529226 0.06023375247405542 0.05425266729880807
-120.69882080599999 -37.745718627  0.1906713189717825 0.12192546689782155 0.03731173251484282
-119.39569580599999 -35.658986627000004  0.14971420090653298 0.17589505301054215 0.019754556294849242
-118.092571806 -33.57225462700001  0.09818776426875198 0.22068633153466352 0.0024753021305814133
-116.789447806 -31.48552262700001  0.039920486835042596 0.25471447668788044 -0.013718247093988565
-115.486322806 -29.39879062700001  -0.02154212313014646 0.2755875434981235 -0.027826549779919982
-114.18319880600001 -27.312058627  -0.08264537157672967 0.2803083470330168 -0.03894657056177872
-112.88007480600001 -25.225326627  -0.13958663855923756 0.2664090701145147 -0.046449536095511036
-111.57694980599999 -23.138594627000003  -0.18903039242042044 0.23285616747546956 -0.04991132311431862
-110.27382580599999 -21.051862627000006  -0.22834706250209105 0.18085991756924538 -0.04926560036583513
-108.970700806 -18.96512962700001  -0.2552410173455057 0.11389315231842446 -0.04459968904515356
-107.667576806 -16.878397627  -0.2682721365320795 0.03702161640932854 -0.035984970622938796
-106.364452806 -14.791665627  -0.26612595014575335 -0.043442840282564586 -0.023932257800520575
-105.06132780600001 -12.704933627000003  -0.24763919087990693 -0.12020612864308836 -0.009716038673334768
-103.75820380599998 -10.618201627000005  -0.21199550183722554 -0.1864652769582734 0.004828201918959985
-102.45507980599999 -8.531469627000007  -0.15995778606285266 -0.23667781811932542 0.018098369527333076
-101.15195480599999 -6.444737627000009  -0.09526082435175871 -0.2682745665720186 0.028871175653421982
-99.848830806 -4.358005627000011  -0.022927866716244572 -0.2812406814461356 0.0363374032650625
-98.545706806 -2.271272627000002  0.05131216268160576 -0.27641719157065986 0.03998317232986601
-97.242581806 -0.18454062700000406  0.1210594469108534 -0.2553602199660821 0.040173017238254824
-157.481349806 -104.691492627  0.18038913279220267 -0.22003164791290125 0.037375615971320594
-156.178224806 -102.604760627  0.22523470271300777 -0.17281964617158876 0.031997184303063655
-154.875100806 -100.518028627  0.2536251896106727 -0.11632210410564849 0.024514482952471165
-153.57197680599998 -98.431295627  0.2660707217711924 -0.0535886416851856 0.014906506318656526
-152.268851806 -96.344563627  0.2646090186456131 0.011463940732200802 0.0033184470528656454
-150.965727806 -94.257831627  0.2508752185759472 0.0741717435999802 -0.009934985535540336
-149.662603806 -92.171099627  0.2257938070629027 0.13062323794180844 -0.024413969368713196
-148.359478806 -90.084367627  0.18917861561525276 0.17923094248738275 -0.03983785270361193
-147.056354806 -87.99763562700001  0.14067363904916164 0.2186878208904243 -0.05568267746353428
-145.753229806 -85.91090362700001  0.08319861717341559 0.24707294839125624 -0.0712657816880624
-144.45010580599998 -83.824171627  0.019969320361774474 0.2617162359228357 -0.08550480210587459
-143.14698180599999 -81.737439627  -0.04539328769011572 0.2595122766447646 -0.09746695665099263
-141.843856806 -79.650706627  -0.10886847933099586 0.23823085788157491 -0.10643130949488055
-140.540732806 -77.56397462700001  -0.16659802808555416 0.19753490117336148 -0.11175230977903637
